,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio
29,Another Love,Tom Odell,2013-06-17,0.7292213495020865,0.2456140350877194,0.15867768595041332,0.804662284665428,0.34104938271604945,0.43313127486266334,0.3495242292186914,0.0,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ,https://i.scdn.co/image/ab67616d0000b2731b51f809c31f0d98f67c0b7d,https://p.scdn.co/mp3-preview/3d0645699f24cf41b4d517478df5a04bcb04b25b?cid=18308f0d5b8049c89ee330d9cfa4bc58
30,Caile,Luar La L,2020-12-18,0.21805984886449908,0.7894736842105263,0.5917355371900826,0.3342800850953955,0.6774691358024691,0.7742943739344572,0.34119211999543,0.38655462184873957,https://open.spotify.com/track/6i1g5ZRmJZAkDwBaUZ3f2i,https://i.scdn.co/image/ab67616d0000b27305c2cc3e87e9aa15d9db3dd9,https://p.scdn.co/mp3-preview/c99ae164f1287feed268eb7303bebcd19024b4a3?cid=18308f0d5b8049c89ee330d9cfa4bc58
31,Sunroof,Nicky Youre,2021-12-03,0.32565582189231973,0.8421052631578947,0.6975206611570249,0.39490213468198676,0.6126543209876543,0.7589505588179579,0.4204002023861987,0.843937575030012,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8,https://i.scdn.co/image/ab67616d0000b2730ed2184bf3fb4466d623a874,https://p.scdn.co/mp3-preview/7c8b08cc640f6065a2daaf7d92ee49a640d8c4b8?cid=18308f0d5b8049c89ee330d9cfa4bc58
32,GATÚBELA,KAROL G,2022-08-26,0.5545670607965625,0.7192982456140351,0.46446280991735545,0.29498801591890117,0.8348765432098766,0.9754688387952264,0.10278444237705864,0.24369747899159666,https://open.spotify.com/track/1ga4PztXOIw1yBbdUt2X8v,https://i.scdn.co/image/ab67616d0000b273c2e05d426c037a71556c9f14,なし
33,Ferrari,James Hype,2022-04-01,0.4429322073424266,0.8421052631578947,0.828099173553719,0.013993589779571491,0.5756172839506173,0.49687440803182426,0.3678532373631037,0.6638655462184874,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,https://i.scdn.co/image/ab67616d0000b2736cc861b5c9c7cdef61b010b4,なし
34,Cold Heart - PNAU Remix,エルトン・ジョン,2021-10-22,0.522687691338239,0.7192982456140351,0.7421487603305786,0.03947730321689784,0.7453703703703705,0.6443455199848456,0.2946351335912125,0.9543817527010805,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h,https://i.scdn.co/image/ab67616d0000b273eb842acacb3238b2bf3b8471,なし
35,Tarot,バッド・バニー,2022-05-06,0.6971385474915774,0.8596491228070176,0.7421487603305786,0.02499536914898991,0.5663580246913582,0.866830839174086,0.2781422905547667,0.33613445378151263,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/db8db5f15768f239548f3499bdd12bfcc6ce063f?cid=18308f0d5b8049c89ee330d9cfa4bc58
36,Te Felicito,シャキーラ,2022-04-21,0.3713537195905548,0.8596491228070176,0.5768595041322314,0.2624317300298058,0.492283950617284,0.8021405569236597,0.7688390540077362,0.5234093637454982,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt,https://i.scdn.co/image/ab67616d0000b2739a9716c90ceeb1890921e44f,https://p.scdn.co/mp3-preview/8e39a11448120d03c39012d7ea5cb688a2299260?cid=18308f0d5b8049c89ee330d9cfa4bc58
37,Bones,イマジン・ドラゴンズ,2022-07-01,0.33676522394946934,0.6491228070175439,0.7041322314049588,0.022301055834030296,0.6682098765432098,0.8953400265201743,0.27855032724542605,0.5378151260504201,https://open.spotify.com/track/54ipXppHLA8U4yqpOFTUhr,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,なし
38,Party,バッド・バニー,2022-05-06,0.6462010211321767,0.8596491228070176,0.7983471074380165,0.016687903094531102,0.7438271604938274,0.7325250994506535,0.13942613719825703,0.3985594237695078,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/4982ab22ba534ab700ddc1f2f9ac143baaad7e24?cid=18308f0d5b8049c89ee330d9cfa4bc58
