,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio,cluster_pred
51,Mood (feat. iann dior),24Kゴールデン,2021-03-26,0.1372832921768794,0.8300000000000001,0.6448863636363638,0.1840571325100741,0.7039239001189062,0.8222608192213056,0.2354368932038836,0.7378481703986892,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m,https://i.scdn.co/image/ab67616d0000485184c53fa832dfa265192419c5,https://p.scdn.co/mp3-preview/9f4d2e78c5f0ebb373b28f702597b4f344a8310c?cid=18308f0d5b8049c89ee330d9cfa4bc58,5
52,SOS,アヴィーチー,2019-04-10,0.1903273847407143,0.6,0.7883522727272729,0.2877697148888196,0.6195005945303211,0.6406136922854249,0.3096889241133347,0.348989623156745,https://open.spotify.com/track/0n2nEtLP3OzDdi12ziIekx,https://i.scdn.co/image/ab67616d00004851773527dd6b1b7995a309a461,なし,3
53,2002,アン・マリー,2018-04-27,0.2851060309055268,0.8200000000000001,0.6392045454545454,0.0392828338426009,0.6646848989298455,0.8794326241134752,0.2777557624991744,0.5969415619879848,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,https://i.scdn.co/image/ab67616d0000485138aae75dc37fb42457866ffd,https://p.scdn.co/mp3-preview/23ce3b026f6e9bdc0dd3dec5dbf4349038ed269a?cid=18308f0d5b8049c89ee330d9cfa4bc58,5
54,Bad Day,ダニエル・パウター,2005-02-22,0.4335683918433848,0.76,0.5,0.474029046507791,0.7859690844233056,0.7975104935591257,0.6402896109900271,0.5062807209175314,https://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK,https://i.scdn.co/image/ab67616d00004851d5d74dc15f88ec6e02c7378d,https://p.scdn.co/mp3-preview/10ef694e1fff6a49ee452460057b6810ac16838f?cid=18308f0d5b8049c89ee330d9cfa4bc58,3
55,"September - from DreamWorks Animation's ""TROLLS""",Trolls,2016-09-23,0.437896183905705,0.62,0.7485795454545456,0.0168470507157702,0.8620689655172415,0.8718338399189463,0.5325523413248796,0.9890770070999454,https://open.spotify.com/track/1QvPIlDwzql2ub5MCyYa78,https://i.scdn.co/image/ab67616d00004851d965d29d7dcf46ade5a8a7e4,https://p.scdn.co/mp3-preview/db25ec20d30d526b2e1e94a4da8f477e20891154?cid=18308f0d5b8049c89ee330d9cfa4bc58,6
56,Perfect,エド・シーラン,2017-03-03,0.5282706652070976,0.87,0.5,0.1724159242838884,0.3852556480380499,0.631133304385584,0.2688148074763886,0.1217913708356089,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,https://p.scdn.co/mp3-preview/229419b7fe43f4aa963e8ed8eecabc4b87c4958e?cid=18308f0d5b8049c89ee330d9cfa4bc58,0
57,We Found Love,リアーナ,2011-11-18,0.3749713601995876,0.78,0.6917613636363638,0.026371675628104,0.7633769322235435,0.7633521493703864,0.5407255135063735,0.5936646641179684,https://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py,https://i.scdn.co/image/ab67616d00004851bef074de9ca825bddaeb9f46,なし,5
58,As It Was,ハリー・スタイルズ,2022-05-20,0.2224707874035793,0.93,0.387784090909091,0.3618501308736378,0.7217598097502973,0.7016210739614994,0.9200267485635032,0.661387220098307,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,https://i.scdn.co/image/ab67616d000048512e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/f0c2adc40766cd8c1ec3f2bc6e1cc293a77ba684?cid=18308f0d5b8049c89ee330d9cfa4bc58,7
59,After LIKE,IVE,2022-08-22,0.2532426618466943,0.88,0.6150568181818183,0.10891842486833,0.948870392390012,1.0,0.5161894855029392,0.8110322228290553,https://open.spotify.com/track/2gYj9lubBorOPIVWsTXugG,https://i.scdn.co/image/ab67616d0000485187f53da5fb4ab1171766b2d5,https://p.scdn.co/mp3-preview/499578eafee7338706b51251e84b0f84360afd05?cid=18308f0d5b8049c89ee330d9cfa4bc58,6
60,Dynamite,BTS,2020-11-20,0.3235056388584812,0.86,0.7088068181818183,0.0117672507625255,0.7621878715814507,0.7687798523664785,0.4256241331484051,0.7433096668487166,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d00004851c07d5d2fdc02ae252fcd07e5,https://p.scdn.co/mp3-preview/d8777ce6505aa52625472591ca898146bf3b0914?cid=18308f0d5b8049c89ee330d9cfa4bc58,5
61,Unholy (feat. Kim Petras),サム・スミス,2022-09-22,0.189503194928846,1.0,0.6633522727272729,0.0136721757449923,0.4137931034482758,0.5542046605876393,0.5666072254144379,0.1982523211359912,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG,https://i.scdn.co/image/ab67616d00004851a935e4689f15953311772cc4,なし,9
62,Romantic Homicide,d4vd,2022-07-20,0.1121343652147348,0.93,0.4602272727272727,0.4793205047924209,0.4994054696789536,0.319872629903025,0.5742933095568326,0.1742217367558711,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL,https://i.scdn.co/image/ab67616d000048516870c3bd1adbc744cb8f386e,なし,2
63,"Out of Sight, out of Mind",Earthquake Lights,2022-04-07,0.2952763422519793,0.46,0.2215909090909091,0.270837048378004,0.3531510107015458,0.5464611376465479,0.0042764678687008,0.1567449481157837,https://open.spotify.com/track/4GJ5zWCI3N0ZP6vZ8aGOty,https://i.scdn.co/image/ab67616d00004851a1f484d484f1a7c4ce845320,なし,0
64,I'm Good (Blue),デヴィッド・ゲッタ,2022-08-26,0.2477215447671902,0.98,0.4460227272727274,0.0039676412509811,1.0,0.8221160804747432,0.5411713228980912,0.2703440742763517,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,https://i.scdn.co/image/ab67616d00004851933c036cd61cd40d3f17a9c4,https://p.scdn.co/mp3-preview/f387f0bdbce0f044f7bf9e2e6a87f59cd78f20a4?cid=18308f0d5b8049c89ee330d9cfa4bc58,9
65,Don't Be Cruel,Rich Fayden,2022-09-16,0.2276545912782261,0.49,0.7670454545454548,0.4179395886907144,0.7336504161712247,0.6057316543638731,0.3341341390925303,0.1840524303659202,https://open.spotify.com/track/4sVZgEFEYBbF6pOGUEjzPo,https://i.scdn.co/image/ab67616d00004851367270871dcef9d4df88e2b7,https://p.scdn.co/mp3-preview/da295cd7a806634252412408360a0e968efd3de9?cid=18308f0d5b8049c89ee330d9cfa4bc58,3
66,Feel the Love,SAGA,2021-10-01,0.1970800132379521,0.49,0.5213068181818183,0.0344146922207414,0.7621878715814507,0.6160081053698074,0.5249818373951523,0.062807209175314,https://open.spotify.com/track/03rOXY2dOTKFghyvbXQx1r,https://i.scdn.co/image/ab67616d000048511adee451d50a2f2575c4a30f,https://p.scdn.co/mp3-preview/532ee458e6ace4fdeaafe03b1d4a2d07ddaa2625?cid=18308f0d5b8049c89ee330d9cfa4bc58,9
67,Shut Down,BLACKPINK,2022-09-15,0.2497931569970214,0.81,0.8110795454545456,0.0033749979231026,0.6730083234244946,0.7174699667100883,0.3928241199392378,0.6897870016384489,https://open.spotify.com/track/7gRFDGEzF9UkBV233yv2dc,https://i.scdn.co/image/ab67616d00004851002ef53878df1b4e91c15406,なし,1
68,Higher Love,HUSH,2022-10-07,0.1699135714467554,0.05,0.4857954545454545,0.1353757162914793,0.6956004756242569,0.6948907222463454,0.4281256191797107,0.3107591480065538,https://open.spotify.com/track/5B08Jd5EOpSToDbe928YP7,https://i.scdn.co/image/ab67616d000048510b3471702a5660635eb53930,https://p.scdn.co/mp3-preview/d319abc1d7828a21a5e431537912bececb1482d0?cid=18308f0d5b8049c89ee330d9cfa4bc58,9
